L      T
380 0.479540
381 0.469800
382 0.450060
383 0.422800
384 0.408580
385 0.408690
386 0.404790
387 0.402500
388 0.400330
389 0.399060
390 0.406340
391 0.403070
392 0.438770
393 0.414370
394 0.427700
395 0.429230
396 0.455530
397 0.476260
398 0.501050
399 0.536930
400 0.544330
401 0.578810
402 0.628960
403 0.674150
404 0.727640
405 0.772470
406 0.851120
407 0.922160
408 1.037350
409 1.114550
410 1.245650
411 1.339270
412 1.486740
413 1.635360
414 1.814040
415 1.957690
416 2.120650
417 2.301230
418 2.552410
419 2.770670
420 2.996800
421 3.150760
422 3.386200
423 3.608680
424 3.873870
425 4.134930
426 4.409920
427 4.651110
428 4.965660
429 5.299670
430 5.677180
431 5.946460
432 6.333080
433 6.669690
434 7.093730
435 7.484380
436 7.929460
437 8.246220
438 8.668060
439 9.025760
440 9.442600
441 9.786910
442 10.113940
443 10.347030
444 10.602600
445 10.787240
446 10.922940
447 10.982050
448 10.988030
449 10.956240
450 10.877280
451 10.691880
452 10.491200
453 10.246280
454 9.998560
455 9.637210
456 9.272720
457 8.789420
458 8.347210
459 8.006980
460 7.585740
461 7.213480
462 6.675280
463 6.237260
464 5.748610
465 5.418500
466 4.971900
467 4.539770
468 4.134080
469 3.756680
470 3.486870
471 3.114180
472 2.860150
473 2.532520
474 2.274570
475 2.036830
476 1.840270
477 1.678200
478 1.491900
479 1.347670
480 1.179920
481 1.085700
482 0.963480
483 0.866530
484 0.786240
485 0.701580
486 0.637800
487 0.586100
488 0.528710
489 0.485970
490 0.432860
491 0.403960
492 0.362480
493 0.351920
494 0.303740
495 0.281730
496 0.256440
497 0.250370
498 0.234540
499 0.227240
500 0.210450
501 0.192110
502 0.205300
503 0.190450
504 0.187330
505 0.174760
506 0.159340
507 0.178060
508 0.166020
509 0.153300
510 0.169000
511 0.153140
512 0.151800
513 0.154880
514 0.146200
515 0.147070
516 0.141290
517 0.138700
518 0.141270
519 0.140720
520 0.137620
521 0.126890
522 0.139400
523 0.140760
524 0.135390
525 0.139610
526 0.146620
527 0.153130
528 0.152710
529 0.134220
530 0.148370
531 0.147290
532 0.128580
533 0.157880
534 0.143780
535 0.131180
536 0.139510
537 0.120830
538 0.130800
539 0.136730
540 0.136590
541 0.131950
542 0.138420
543 0.132300
544 0.131480
545 0.142720
546 0.132430
547 0.133520
548 0.135060
549 0.142560
550 0.135220
551 0.131220
552 0.155980
553 0.142040
554 0.156040
555 0.155840
556 0.151020
557 0.144300
558 0.155130
559 0.159690
560 0.162320
561 0.172690
562 0.180050
563 0.162860
564 0.171460
565 0.169700
566 0.213200
567 0.224750
568 0.213090
569 0.221430
570 0.245070
571 0.269060
572 0.255060
573 0.297990
574 0.297230
575 0.318300
576 0.331430
577 0.362700
578 0.399260
579 0.440400
580 0.479480
581 0.525070
582 0.559220
583 0.627290
584 0.662880
585 0.697460
586 0.816110
587 0.873990
588 0.948710
589 1.017160
590 1.137180
591 1.235430
592 1.391710
593 1.531010
594 1.661490
595 1.844970
596 2.035570
597 2.205710
598 2.446680
599 2.731900
600 2.989340
601 3.213410
602 3.555800
603 3.910430
604 4.269370
605 4.687390
606 5.122770
607 5.599310
608 6.072410
609 6.516030
610 6.999400
611 7.654110
612 8.372470
613 8.988700
614 9.455720
615 10.176670
