L	Relative spectral power distribution of CIE Standard Illuminant A	
380	9.7951
381	10.016
382	10.2369
383	10.4578
384	10.6787
385	10.8996
386	11.13674
387	11.37388
388	11.61102
389	11.84816
390	12.0853
391	12.3391
392	12.5929
393	12.8467
394	13.1005
395	13.3543
396	13.62504
397	13.89578
398	14.16652
399	14.43726
400	14.708
401	14.996
402	15.284
403	15.572
404	15.86
405	16.148
406	16.45346
407	16.75892
408	17.06438
409	17.36984
410	17.6753
411	17.99838
412	18.32146
413	18.64454
414	18.96762
415	19.2907
416	19.63156
417	19.97242
418	20.31328
419	20.65414
420	20.995
421	21.35366
422	21.71232
423	22.07098
424	22.42964
425	22.7883
426	23.16482
427	23.54134
428	23.91786
429	24.29438
430	24.6709
431	25.06522
432	25.45954
433	25.85386
434	26.24818
435	26.6425
436	27.05454
437	27.46658
438	27.87862
439	28.29066
440	28.7027
441	29.13232
442	29.56194
443	29.99156
444	30.42118
445	30.8508
446	31.29782
447	31.74484
448	32.19186
449	32.63888
450	33.0859
451	33.55008
452	34.01426
453	34.47844
454	34.94262
455	35.4068
456	35.88786
457	36.36892
458	36.84998
459	37.33104
460	37.8121
461	38.30972
462	38.80734
463	39.30496
464	39.80258
465	40.3002
466	40.81402
467	41.32784
468	41.84166
469	42.35548
470	42.8693
471	43.39892
472	43.92854
473	44.45816
474	44.98778
475	45.5174
476	46.06238
477	46.60736
478	47.15234
479	47.69732
480	48.2423
481	48.8022
482	49.3621
483	49.922
484	50.4819
485	51.0418
486	51.61608
487	52.19036
488	52.76464
489	53.33892
490	53.9132
491	54.50134
492	55.08948
493	55.67762
494	56.26576
495	56.8539
496	57.45534
497	58.05678
498	58.65822
499	59.25966
500	59.8611
501	60.47528
502	61.08946
503	61.70364
504	62.31782
505	62.932
506	63.5583
507	64.1846
508	64.8109
509	65.4372
510	66.0635
511	66.7013
512	67.3391
513	67.9769
514	68.6147
515	69.2525
516	69.90118
517	70.54986
518	71.19854
519	71.84722
520	72.4959
521	73.15478
522	73.81366
523	74.47254
524	75.13142
525	75.7903
526	76.45876
527	77.12722
528	77.79568
529	78.46414
530	79.1326
531	79.80994
532	80.48728
533	81.16462
534	81.84196
535	82.5193
536	83.20484
537	83.89038
538	84.57592
539	85.26146
540	85.947
541	86.64008
542	87.33316
543	88.02624
544	88.71932
545	89.4124
546	90.11232
547	90.81224
548	91.51216
549	92.21208
550	92.912
551	93.61806
552	94.32412
553	95.03018
554	95.73624
555	96.4423
556	97.15384
557	97.86538
558	98.57692
559	99.28846
560	100
561	100.7164
562	101.4328
563	102.1492
564	102.8656
565	103.582
566	104.3024
567	105.0228
568	105.7432
569	106.4636
570	107.184
571	107.9078
572	108.6316
573	109.3554
574	110.0792
575	110.803
576	111.5296
577	112.2562
578	112.9828
579	113.7094
580	114.436
581	115.1648
582	115.8936
583	116.6224
584	117.3512
585	118.08
586	118.8102
587	119.5404
588	120.2706
589	121.0008
590	121.731
591	122.462
592	123.193
593	123.924
594	124.655
595	125.386
596	126.1174
597	126.8488
598	127.5802
599	128.3116
600	129.043
601	129.7738
602	130.5046
603	131.2354
604	131.9662
605	132.697
606	133.4268
607	134.1566
608	134.8864
609	135.6162
610	136.346
611	137.0744
612	137.8028
613	138.5312
614	139.2596
615	139.988
616	140.714
617	141.44
618	142.166
619	142.892
620	143.618
621	144.3414
622	145.0648
623	145.7882
624	146.5116
625	147.235
626	147.9552
627	148.6754
628	149.3956
629	150.1158
630	150.836
631	151.5524
632	152.2688
633	152.9852
634	153.7016
635	154.418
636	155.1302
637	155.8424
638	156.5546
639	157.2668
640	157.979
641	158.6864
642	159.3938
643	160.1012
644	160.8086
645	161.516
646	162.2184
647	162.9208
648	163.6232
649	164.3256
650	165.028
651	165.7244
652	166.4208
653	167.1172
654	167.8136
655	168.51
656	169.2006
657	169.8912
658	170.5818
659	171.2724
660	171.963
661	172.647
662	173.331
663	174.015
664	174.699
665	175.383
666	176.0602
667	176.7374
668	177.4146
669	178.0918
670	178.769
671	179.4388
672	180.1086
673	180.7784
674	181.4482
675	182.118
676	182.7802
677	183.4424
678	184.1046
679	184.7668
680	185.429
681	186.0834
682	186.7378
683	187.3922
684	188.0466
685	188.701
686	189.347
687	189.993
688	190.639
689	191.285
690	191.931
691	192.5684
692	193.2058
693	193.8432
694	194.4806
695	195.118
696	195.7466
697	196.3752
698	197.0038
699	197.6324
700	198.261
701	198.8806
702	199.5002
703	200.1198
704	200.7394
705	201.359
706	201.969
707	202.579
708	203.189
709	203.799
710	204.409
711	205.0094
712	205.6098
713	206.2102
714	206.8106
715	207.411
716	208.0018
717	208.5926
718	209.1834
719	209.7742
720	210.365
721	210.9456
722	211.5262
723	212.1068
724	212.6874
725	213.268
726	213.8384
727	214.4088
728	214.9792
729	215.5496
730	216.12
731	216.68
732	217.24
733	217.8
734	218.36
735	218.92
736	219.4694
737	220.0188
738	220.5682
739	221.1176
740	221.667
741	222.2058
742	222.7446
743	223.2834
744	223.8222
745	224.361
746	224.8888
747	225.4166
748	225.9444
749	226.4722
750	227
751	227.517
752	228.034
753	228.551
754	229.068
755	229.585
756	230.091
757	230.597
758	231.103
759	231.609
760	232.115
761	232.6098
762	233.1046
763	233.5994
764	234.0942
765	234.589
766	235.0728
767	235.5566
768	236.0404
769	236.5242
770	237.008
771	237.4804
772	237.9528
773	238.4252
774	238.8976
775	239.37
776	239.831
777	240.292
778	240.753
779	241.214
